,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
150,Entire home/apt,Boston,Jamaica Plain,3,5.0,2,1.0,60.0,42.316137,-71.112888,0101000020E61000001807978E39C751C01C075E2D77284540
151,Entire home/apt,Boston,Fenway,1,0.0,4,1.0,4000.0,42.347934,-71.09758000000001,0101000020E6100000982F2FC03EC651C04F95EF19892C4540
152,Entire home/apt,Boston,Downtown,0,0.0,8,4.0,3995.0,42.360557,-71.047811,0101000020E6100000E658DE550FC351C004AC55BB262E4540
153,Entire home/apt,Boston,South Boston Waterfront,0,0.0,4,2.0,3000.0,42.348358000000005,-71.039875,0101000020E6100000643BDF4F8DC251C065A6B4FE962C4540
154,Entire home/apt,Boston,Downtown,0,0.0,16,1.0,1299.0,42.36038,-71.059601,0101000020E6100000C573B680D0C351C0F5108DEE202E4540
155,Entire home/apt,Boston,West Roxbury,0,0.0,14,6.0,1100.0,42.291034,-71.141995,0101000020E6100000834C327216C951C01503249A40254540
156,Entire home/apt,Boston,South End,3,5.0,10,5.0,1400.0,42.342415,-71.074519,0101000020E61000008FFB56EBC4C451C076543541D42B4540
157,Entire home/apt,Boston,Beacon Hill,0,0.0,12,4.0,1200.0,42.357773,-71.07213399999999,0101000020E610000080BBECD79DC451C027327381CB2D4540
158,Entire home/apt,Boston,Roxbury,1,0.0,8,4.0,1000.0,42.340678000000004,-71.081932,0101000020E6100000BC1FB75F3EC551C0BC3B32569B2B4540
159,Entire home/apt,Boston,West End,0,0.0,5,2.0,800.0,42.363231,-71.067036,0101000020E6100000E6E95C514AC451C05AF2785A7E2E4540
160,Entire home/apt,Boston,South Boston Waterfront,0,0.0,7,3.0,720.0,42.352244,-71.045823,0101000020E6100000E59997C3EEC251C02A1BD654162D4540
161,Entire home/apt,Boston,Jamaica Plain,0,0.0,5,2.0,560.0,42.328612,-71.11224399999999,0101000020E6100000064B75012FC751C05D8940F50F2A4540
162,Entire home/apt,Boston,South Boston Waterfront,0,0.0,7,3.0,617.0,42.351325,-71.046397,0101000020E61000007B681F2BF8C251C034A2B437F82C4540
163,Entire home/apt,Boston,Back Bay,0,0.0,8,3.0,529.0,42.353772,-71.072695,0101000020E61000004BE5ED08A7C451C0C91EA166482D4540
164,Entire home/apt,Boston,Downtown,0,0.0,5,2.0,548.0,42.352276,-71.06362299999999,0101000020E61000008011346612C451C036954561172D4540
165,Entire home/apt,Boston,South Boston Waterfront,5,5.0,7,3.0,617.0,42.351651000000004,-71.045822,0101000020E6100000FDDB65BFEEC251C0874D64E6022D4540
166,Entire home/apt,Boston,Downtown,1,0.0,5,2.0,548.0,42.352137,-71.06293199999999,0101000020E6100000CD77F01307C451C0145B41D3122D4540
167,Entire home/apt,Boston,South Boston Waterfront,7,4.5,6,3.0,569.0,42.351416,-71.045845,0101000020E6100000D9EBDD1FEFC251C044A51133FB2C4540
168,Entire home/apt,Boston,South Boston Waterfront,4,4.5,7,3.0,617.0,42.351948,-71.046554,0101000020E6100000DFDFA0BDFAC251C041F2CEA10C2D4540
169,Entire home/apt,Boston,Jamaica Plain,9,4.0,12,4.0,550.0,42.315576,-71.113057,0101000020E61000005E656D533CC751C085B35BCB64284540
170,Entire home/apt,Boston,Back Bay,0,0.0,4,2.0,600.0,42.354574,-71.072428,0101000020E610000024D40CA9A2C451C086014BAE622D4540
171,Entire home/apt,Boston,Mattapan,0,0.0,12,6.0,600.0,42.27047,-71.075567,0101000020E61000000A6AF816D6C451C04A46CEC29E224540
172,Entire home/apt,Boston,Chinatown,0,0.0,5,2.0,594.0,42.348741,-71.059628,0101000020E6100000427BF5F1D0C351C01DE38A8BA32C4540
173,Entire home/apt,Boston,South Boston Waterfront,1,0.0,5,2.0,617.0,42.35252,-71.045123,0101000020E61000000953944BE3C251C0CC9717601F2D4540
174,Shared room,Boston,Roxbury,53,4.5,2,1.0,39.0,42.325996999999994,-71.078774,0101000020E61000009B711AA20AC551C00CCC0A45BA294540
175,Shared room,Boston,Brighton,6,4.0,2,1.0,40.0,42.356393,-71.163964,0101000020E61000002B6EDC627ECA51C0FCC22B499E2D4540
176,Shared room,Boston,Back Bay,11,5.0,2,1.0,40.0,42.351091,-71.086933,0101000020E61000005DFC6D4F90C551C0C075C58CF02C4540
177,Entire home/apt,Boston,West End,0,0.0,4,2.0,514.0,42.362983,-71.064072,0101000020E6100000B72572C119C451C08200193A762E4540
178,Entire home/apt,Boston,Back Bay,0,0.0,3,1.0,592.0,42.350773,-71.079828,0101000020E61000008753E6E61BC551C0EFA83121E62C4540
